[2023-09-09 19:11:42.892 | workflowName: LongRunningWorkflow | activityName: A | iteration: 12] - Task execution finished with a running time of: 734ms
[2023-09-09 19:11:42.894 | workflowName: LongRunningWorkflow | activityName: A | iteration: 12] - Collecting task results...
[2023-09-09 19:11:42.896 | workflowName: LongRunningWorkflow | activityName: A | iteration: 12] - Task results collected: [A12]
[2023-09-09 19:11:42.897 | workflowName: LongRunningWorkflow | activityName: A | iteration: 12] - Emit task results...
[2023-09-09 19:11:42.900 | workflowName: LongRunningWorkflow | activityName: A | iteration: 12] - Incrementing workflow iteration...
[2023-09-09 19:11:42.902 | workflowName: LongRunningWorkflow | activityName: A | iteration: 13] - Mapping task arguments...
[2023-09-09 19:11:42.903 | workflowName: LongRunningWorkflow | activityName: A | iteration: 13] - Task will be executed with the following arguments: {"arguments":[],"constants":["0","A"],"currentIteration":13}
[2023-09-09 19:11:42.906 | workflowName: LongRunningWorkflow | activityName: A | iteration: 13] - Executing task
[2023-09-09 19:11:42.906 | workflowName: LongRunningWorkflow | activityName: A | iteration: 13] - Setup results file before task execution
[2023-09-09 19:11:42.907 | workflowName: LongRunningWorkflow | activityName: A | iteration: 13] - Executing task
[2023-09-09 19:11:43.686 | workflowName: LongRunningWorkflow | activityName: A | iteration: 13] - Task execution finished with a running time of: 777ms
[2023-09-09 19:11:43.687 | workflowName: LongRunningWorkflow | activityName: A | iteration: 13] - Collecting task results...
[2023-09-09 19:11:43.694 | workflowName: LongRunningWorkflow | activityName: A | iteration: 13] - Task results collected: [A13]
[2023-09-09 19:11:43.696 | workflowName: LongRunningWorkflow | activityName: A | iteration: 13] - Emit task results...
[2023-09-09 19:11:43.706 | workflowName: LongRunningWorkflow | activityName: A | iteration: 13] - Incrementing workflow iteration...
[2023-09-09 19:11:43.708 | workflowName: LongRunningWorkflow | activityName: A | iteration: 14] - Mapping task arguments...
[2023-09-09 19:11:43.711 | workflowName: LongRunningWorkflow | activityName: A | iteration: 14] - Task will be executed with the following arguments: {"arguments":[],"constants":["0","A"],"currentIteration":14}
[2023-09-09 19:11:43.713 | workflowName: LongRunningWorkflow | activityName: A | iteration: 14] - Executing task
