[2023-09-09 18:40:42.071 | workflowName: LongRunningWorkflow | activityName: C | iteration: 3] - Task will be executed with the following arguments: {"arguments":["A3-B3"],"constants":["0","C","LongRunningWorkflowResults.txt"],"currentIteration":3}
[2023-09-09 18:40:42.072 | workflowName: LongRunningWorkflow | activityName: C | iteration: 3] - Executing task
[2023-09-09 18:40:42.073 | workflowName: LongRunningWorkflow | activityName: B | iteration: 4] - Received tokens: [InputToken{portName='IPortB', token={content='A4', iteration=4}}]
[2023-09-09 18:40:42.073 | workflowName: LongRunningWorkflow | activityName: C | iteration: 3] - Setup results file before task execution
[2023-09-09 18:40:42.074 | workflowName: LongRunningWorkflow | activityName: B | iteration: 4] - Mapping task arguments...
[2023-09-09 18:40:42.075 | workflowName: LongRunningWorkflow | activityName: B | iteration: 4] - Task will be executed with the following arguments: {"arguments":["A4"],"constants":["0","B"],"currentIteration":4}
[2023-09-09 18:40:42.075 | workflowName: LongRunningWorkflow | activityName: C | iteration: 3] - Executing task
[2023-09-09 18:40:42.076 | workflowName: LongRunningWorkflow | activityName: B | iteration: 4] - Executing task
[2023-09-09 18:40:42.077 | workflowName: LongRunningWorkflow | activityName: B | iteration: 4] - Setup results file before task execution
[2023-09-09 18:40:42.079 | workflowName: LongRunningWorkflow | activityName: B | iteration: 4] - Executing task
[2023-09-09 18:40:42.427 | workflowName: LongRunningWorkflow | activityName: B | iteration: 4] - Task execution finished with a running time of: 348ms
[2023-09-09 18:40:42.428 | workflowName: LongRunningWorkflow | activityName: B | iteration: 4] - Collecting task results...
[2023-09-09 18:40:42.431 | workflowName: LongRunningWorkflow | activityName: B | iteration: 4] - Task results collected: [A4-B4]
[2023-09-09 18:40:42.433 | workflowName: LongRunningWorkflow | activityName: B | iteration: 4] - Emit task results...
[2023-09-09 18:40:42.435 | workflowName: LongRunningWorkflow | activityName: B | iteration: 4] - Finished Activity execution
[2023-09-09 18:40:42.471 | workflowName: LongRunningWorkflow | activityName: C | iteration: 3] - Task execution finished with a running time of: 393ms
[2023-09-09 18:40:42.474 | workflowName: LongRunningWorkflow | activityName: C | iteration: 3] - Collecting task results...
